CAS106A,12,L
CAS106B,22,S
CAS106C,14,S
CAS120,20,L
CAS124,24,S
CAS125,24,S
CAS209B,16,L
CAS209C,12,L
CAS304,24,S
CAS306,16,S
CAS309,16,S
CAS310,24,S
CAS311,24,S
