Course ID,Course,Hours,Type,Days,Times,Instructor,Room,Students,Lectures,Group,Avoid
EGME312-A2,EGME312,3,L,,,Janjua,CAS209C,12,,ME-Jr:ME-Sr:MT-So:MT-Jr,
EGME350-1,EGME350,3,S,,,Nudurupati,Gen17,14,,ME-Jr,
EGME350-A,EGME350,3,L,,,Nudurupati,CAS120,14,,ME-Jr,
EGME431-1,EGME431,3,S,,,Janjua,Gen18,12,,ME-Sr,
EGME432-1,EGME432,3,L,,,Nudurupati,CAS106A,10,,ME-Sr,
,,,,,,,,,,,
CHEM115,CHEM115,,,MON:TUE:WED:FRI,11.0-12.0,,,0,,,
CHEM115-L,CHEM115,,,WED,12.0-14.0,,,0,,,
CSCI105,CSCI105,,,THU:FRI,14.0-15.0,,,0,,,
CSCI105-L,CSCI105,,,MON:TUE:WED:FRI,15.0-16.0,,,0,,,
CSCI122,CSCI122,,,MON:WED:FRI,9.0-10.0,,,0,,,
ENGL110,ENGL110,,,MON:WED:FRI,13.0-14.0,,,0,,,
ENGL111,ENGL111,,,MON:WED:FRI,8.0-9.0,,,0,,,
MATH151,MATH151,,,MON:TUE:THU:FRI,8.0-9.0,,,0,,,
MATH152,MATH152,,,MON:TUE:THU:FRI,8.0-9.0,,,0,,,
MATH310,MATH310,,,MON:WED:FRI,8.0-9.0,,,0,,,
MATH131,MATH131,,,TUE:THU,11.0-12.5,,,0,,,
MATH111,MATH111,,,MON:WED:FRI,9.0-10.0,,,0,,,
MATH112,MATH112,,,MON:TUE:WED:THU,10.0-11.0,,,0,,,
MATH207,MATH207,,,MON:WED:FRI,13.0-14.0,,,0,,,
MATH102,MATH102,,,TUE:THU,18.0-20.0,,,0,,,
PHYS231,PHYS231,,,TUE:THU,9.5-11.0,,,0,,,
PHYS221,PHYS221,,,TUE:THU,11.0-12.5,,,0,,,
PHYS231-L,PHYS231,,,TUE,16.0-18.0,,,0,,,
PHYS221-L,PHYS221,,,TUE,15.0-17.0,,,0,,,
COMM101,COMM101,,,MON:WED:FRI,12.0-13.0,,,0,,,
HUMN251,HUMN251,,,MON:WED,14.0-16.0,,,0,,,
