EGEE300-A,EGEE300,2,L,WED,8.0-10.0,WEBER,CAS306,15,,CE-JR:CE-SR:EE-JR:EE-SR:ME-JR:ME-SR,EGEE250:EGEE370:EGNR340:EGEE345:EGEE355:EGNR346:EGEE425:EGRS385:EGRS430:EGRS435:CSCI341:MATH308:EGEE320:EGNR491:EGNR495:EGRS460:EGRS461:EGEM220:HUMN251:EGEE310:EGEE375:EGEM320:EGME225:EGME337:EGEE365:EGME310:EGME411:COMM101:EGEE330:EGEE210:EGME350:EGME338:EGME339:EGEE280:EGME240:EGME415:EGME425:EGRS365:EGME312:EGNR310:EGME431:EGME432:EGRN495
EGEE330-1,EGEE330,3,S,TUE:THU,9.5-11.0,MOENING,GEN13,15,,EE-JR:EE-SR,EGEE310:EGEE370:EGEM220:EGEE345:EGEE375:EGNR346:EGRS385:EGRS430:EGRS435:EGEM320:EGME225:EGME337:EGEE320:EGEE355:EGEE425:EGEE365:EGME310:EGME411:COMM101:MATH308:EGNR491:EGRS460:EGNR495:EGRS461:HUMN251
EGEE330-A,EGEE330,2,L,MON,8.0-10.0,MOENING,CAS310,15,,EE-JR:EE-SR,EGEE310:EGEE370:EGEM220:EGEE345:EGEE375:EGNR346:EGRS385:EGRS430:EGRS435:EGEM320:EGME225:EGME337:EGEE320:EGEE355:EGEE425:EGEE365:EGME310:EGME411:COMM101:MATH308:EGNR491:EGRS460:EGNR495:EGRS461:HUMN251
EGEE370-1,EGEE370,3,S,TUE:THU,11.0-12.5,MOENING,GEN14,15,,CE-JR:EE-JR,EGEE250:EGNR340:EGEE345:EGEE355:EGNR346:EGEE425:EGRS385:EGRS430:EGRS435:CSCI341:MATH308:EGEE310:EGEM220:EGEE375:EGEM320:EGME225:EGME337:EGEE320:EGEE365:EGME310:EGME411:COMM101
EGEE370-A,EGEE370,3,L,MON,16.0-19.0,MOENING,CAS306,15,,CE-JR:EE-JR,EGEE250:EGNR340:EGEE345:EGEE355:EGNR346:EGEE425:EGRS385:EGRS430:EGRS435:CSCI341:MATH308:EGEE310:EGEM220:EGEE375:EGEM320:EGME225:EGME337:EGEE320:EGEE365:EGME310:EGME411:COMM101
EGEM220-1,EGEM220,3,S,TUE:THU,12.5-14.0,DUESING,CAS311,24,,CE-SR:EE-JR:ME-SO,EGEE320:EGNR491:EGEE425:EGNR495:EGRS385:EGRS430:EGRS435:EGRS460:EGRS461:HUMN251:EGEE310:EGEE370:EGEE345:EGEE375:EGNR346:EGEM320:EGME225:EGME337:EGEE355:EGEE365:EGME310:EGME411:COMM101:MATH308:EGNR265:EGME275:EGME276:MATH251:PHYS231:MATH310:PHYS232
EGME110-1,EGME110,2,S,TUE:THU,14.0-15.0,DUESING,GEN15,50,,ME-FR:MT-FR,EGME141:EGNR101:EGNR140:ENGL110:MATH151:CHEM115:ENGL111:MATH152:EGEE125:MATH102:MATH207:MATH140
EGME110-A,EGME110,3,L,MON,14.0-17.0,DUESING,CAS120,10,,ME-FR:MT-FR,EGME141:EGNR101:EGNR140:ENGL110:MATH151:CHEM115:ENGL111:MATH152:EGEE125:MATH102:MATH207:MATH140
EGME110-B,EGME110,3,L,MON,17.0-20.0,COULLARD,CAS120,10,,ME-FR:MT-FR,EGME141:EGNR101:EGNR140:ENGL110:MATH151:CHEM115:ENGL111:MATH152:EGEE125:MATH102:MATH207:MATH140
EGME110-C,EGME110,3,L,WED,14.0-17.0,DUESING,CAS120,10,,ME-FR:MT-FR,EGME141:EGNR101:EGNR140:ENGL110:MATH151:CHEM115:ENGL111:MATH152:EGEE125:MATH102:MATH207:MATH140
EGME110-D,EGME110,3,L,TUE,14.0-17.0,COULLARD,CAS120,10,,ME-FR:MT-FR,EGME141:EGNR101:EGNR140:ENGL110:MATH151:CHEM115:ENGL111:MATH152:EGEE125:MATH102:MATH207:MATH140
EGME110-E,EGME110,3,L,THU,9.0-12.0,COULLARD,CAS120,10,,ME-FR:MT-FR,EGME141:EGNR101:EGNR140:ENGL110:MATH151:CHEM115:ENGL111:MATH152:EGEE125:MATH102:MATH207:MATH140
EGNR101-C,EGNR101,2,L,FRI,16.0-18.0,JANJUA,CAS209B,1,,CE-FR:EE-FR:EET-FR:ME-FR:MT-FR,EGEE125:EGNR140:CHEM115:CSCI105:ENGL110:MATH151:CSCI121:ENGL111:MATH152:EGME141:MATH111:CHEM108:CHEM109:MATH131:EGME110:MATH102:MATH207:MATH140
EGME141-C,EGME141,1,L,WED,20.0-21.0,JANJUA,CAS209C,1,,EET-FR:ME-FR:MT-FR,EGNR101:EGEE125:ENGL110:MATH111:CHEM108:CHEM109:ENGL111:MATH131:EGME110:EGNR140:MATH151:CHEM115:MATH152:MATH102:MATH207:MATH140
EGME312-1,EGME312,1,S,FRI,15.0-16.0,JANJUA,GEN16,12,,ME-JR:ME-SR:MT-SO:MT-JR,EGEE210:EGEM320:EGME350:EGNR340:EGME337:EGME338:EGME339:EGEE280:EGEE365:EGME240:EGME310:EGME415:EGME425:EGRS365:EGRS385:EGRS430:EGRS435:EGNR310:COMM101:MATH308:EGEE300:EGNR491:EGME431:EGME432:EGRS460:EGRN495:HUMN251:EGNR265:EGET110:EGMT225:EGRS215:EGET175:PHYS221:EGRS380:EGRS381:EGNR140:EGME275:EGME276:EGNR245:MATH112
EGRS460-1,EGRS460,3,S,TUE:THU,14.0-15.5,BAUMANN,GEN9,20,,CE-SR:EE-SR:ME-SR,EGEE320:EGNR491:EGEE425:EGNR495:EGRS385:EGRS430:EGRS435:EGRS461:EGEM220:HUMN251:EGEE330:EGEM320:EGME225:EGME337:EGEE355:EGEE365:EGME310:EGME411:EGEE300:EGME431:EGME432:EGRN495:EGEE280:EGME240:EGME415:EGME425:EGRS365:EGME312:EGNR310
EGME431-1,EGME431,3,S,MON:WED:FRI,11.0-12.0,JANJUA,GEN18,12,,ME-SR,EGEE300:EGNR491:EGME432:EGRS460:EGRN495:EGEE280:EGEE365:EGME240:EGME310:EGME415:EGME425:EGRS365:EGRS385:EGRS430:EGRS435:EGME312:EGNR310:HUMN251
EGME432-1,EGME432,3,L,MON,8.0-11.0,NUDURUPATI,CAS106A,10,,ME-SR,EGEE300:EGNR491:EGME431:EGRS460:EGRN495:EGEE280:EGEE365:EGME240:EGME310:EGME415:EGME425:EGRS365:EGRS385:EGRS430:EGRS435:EGME312:EGNR310:HUMN251
EGNR101-A,EGNR101,2,L,FRI,18.0-20.0,JONES,CAS209B,1,,CE-FR:EE-FR:EET-FR:ME-FR:MT-FR,EGEE125:EGNR140:CHEM115:CSCI105:ENGL110:MATH151:CSCI121:ENGL111:MATH152:EGME141:MATH111:CHEM108:CHEM109:MATH131:EGME110:MATH102:MATH207:MATH140
EGME141-A,EGME141,1,L,MON,20.0-21.0,DUESING,CAS209B,1,,EET-FR:ME-FR:MT-FR,EGNR101:EGEE125:ENGL110:MATH111:CHEM108:CHEM109:ENGL111:MATH131:EGME110:EGNR140:MATH151:CHEM115:MATH152:MATH102:MATH207:MATH140
